name,sale_price,original_price,discount
ARO Chicken Pop 1 kg,189,199,-5%
ARO Chicken Pop 1 Carton (1 kg x 10),"1,850","1,950",-5%
COKE Soft Drink Original Less Sugar 1.25 l + 250 ml x 12,310,321,
SINGHA Lemon Soda 330 ml x 24,318,324,
FANTA Soft Drink Orange 1.25 l x 12,310,322,
OISHI Chakulza Sparkling Green Tea Honey Lemon 320 ml x 24,283,309,-8%
PEPSI Soft Drink 1.25 l + 250 ml x 12,310,322,
COKE Soft Drink Original Less Sugar 500 ml x 12,178,182,
COKE Soft Drink Can Original Less Sugar 325 ml x 24,311,315,
PEPSI Soft Drink 325 ml x 24,299,303,
FANTA Soft Drink Fruit Punch 1.25 l x 12,310,322,
FANTA Soft Drink Strawberry 1.25 l x 12,310,322,
EST Cola Soft Drink 1.6 l x 6,140,142,
PEPSI Soft Drink 640 ml x 12,193,196,
COKE Soft Drink Original 330 ml x 24,272,273,
PEPSI Soft Drink 545 ml x 24,356,367,
COKE Soft Drink Can No Sugar No Calories 325 ml x 24,301,303,
SPRITE Soft Drink Original 450 ml x 12,169,170,
PEPSI Soft Drink 2 l x 6,220,225,
COKE Soft Drink Original Less Sugar 590 ml x 12,192,194,
ORION POCA CHIP KOREAN STYLE SEAWEED FLAVOR 60G.X 6,103,109,-5%
MAMA Oriental Kitchen Instant Noodles Shrimp Creamy Tom Yum Flavour 85 g x 4,55,56,-1%
OREO Wafer Vanilla 18 g x 12,44,47,
ORION Poca Chip Sour Cream 60g. X6,103,109,-5%
ORION Poca Chip Salt Flavor 60g. X6,103,109,-5%
MOMENTO x LAURA Collagen Health Pillow 17X27 Inch,259,299,-13%
lgate Toothpaste Salt Herbal 75g x12 + Colgate Toothpaste Salt Xtra Fresh 75g x12,660,840,-21%
บรีส เอกเซล ผงซักฟอก 4 กก. x 3,929,"1,035",-10%
HAFELE Air Fryer 5.7 l,"2,990","4,590",-34%
FINELINE CONCENTRATED FABRIC SOFTENER HAPPINESS PEACH BLOSSOM 1150 ML.,107,169,
CHAMPION Garbage Bag Roll Apple Scented 18x20 30 Bags,35,42,-16%
COLGATE Toothpaste Salt Herbal 75 g x 12,334,420,-20%
COLGATE Toothpaste Salt Xtra Fresh 75 g x 12,334,420,-20%
x Talcum Peony&Pomegranate 140g x6 + Protex Talcum Japanese White Chacoal 140g x6,310,358,-13%
TARO BRAND CRISPY FISH SNACK SPICY FLAVOURED 18G. X12,230,240,
COLGATE Toothpaste Advance Whitening 80 g 5+1,240,276,-13%
ARO Enoki Mushroom 1 kg,50,53,
White Shimeji Mushroom 150 g,12,17,
Imported Broccoli 1 kg,49,55,-10%
SOFY Sanitary Napkin Night Body Fit 29 cm 4 pcs x 12,115,125,
COLGATE Great Regular Toothpaste 100 g x 12,407,415,
INGON Rice Milk Herbal Soap 160 g x 4,111,112,
HEAD & SHOULDERS Shampoo Cool Menthol 140 ml x 3,105,119,
NIVEA Men Cool Kick Roll On 25 ml x 4+1,180,236,-23%
LAURIER Sanitary Napkin with Wings 30 cm Soft and Safe Night 4 pcs x 12+1,115,118,
INGON Tamarind Herbal Soap 160 g x 4,111,112,
COLGATE Toothbrush Deluxe Plus x 12,114,119,-4%
SUNSILK Heathier & Long Shampoo 60 ml x 6,85,89,-4%
ZILK Pop-up Napkin 50 sheets x 30,113,139,-18%
Parrot Bar Soap Green 105 g x 4,52,57,
DARLIE Toothpaste Double Action 80 g x 12,309,319,
HEAD & SHOULDERS Cool Menthol Shampoo 370 ml x 1+1,189,219,-13%
SOFY Sanitary Napkin Cooling Fresh 23 cm 4 pcs x 6,79,85,
COLGATE Toothpaste Great Regular Flavor 35 g x 12,154,166,-7%
SUNSILK Shampoo Pink 60 ml x 6,85,89,-4%
INGON Goat Milk Soap 160 g x 4,111,112,
ICHITAN Green Tea Honey Lemon 280 ml x 24,193,195,
MORAKOT Palm Oil 1 l 12 bottles,570,600,-5%
BIRDY Ready to Drink Coffee Robusta 170 ml 30 cans,407.5,412,
MAMA Cup Instant Noodles Minced Pork 60 g x 6,70,73,-4%
MAMA Cup Instant Noodles Shrimp Creamy Tom Yum 60 g x 6,71,73,-2%
MAMA Cup Instant Noodles Tom Yum Kung 60 g x 6,70,73,-4%
